Scenario,Country,Taxa,Area,Min,TukeyLH,Median,TukeyUH,Max
SR,MEX,All,IPL,0,0,0,1,8
TS,MEX,All,IPL,0,0,0,2,32
IR,MEX,All,IPL,0,0,0,1.3999321026858524e-6,0.1111111119389534
SR,NIC,All,IPL,0,0,0,3,4
TS,NIC,All,IPL,0,0,0,2,2
IR,NIC,All,IPL,0,0,0,2.0512163700914243e-6,3.310038664494641e-5
SR,NCL,All,IPL,0,0,0,0,3
TS,NCL,All,IPL,0,0,0,0,32
IR,NCL,All,IPL,0,0,0,0,0.02283752709627151
SR,NGA,All,IPL,0,0,0,0,2
TS,NGA,All,IPL,0,0,0,0,32
IR,NGA,All,IPL,0,0,0,0,3.5681154258782044e-5
SR,MYS,All,IPL,0,1,1,1,5
TS,MYS,All,IPL,0,1,8,8,19
SR,MMR,All,IPL,0,0,1,1,3
IR,MYS,All,IPL,0,0,1.556376673761406e-6,9.291003152611664e-6,0.2784349322319031
TS,MMR,All,IPL,0,0,1,32,32
IR,MMR,All,IPL,0,0,0,8.991455615614541e-7,0.00877192988991737
SR,NPL,All,IPL,0,0,0,0,0
TS,NPL,All,IPL,0,0,0,0,0
IR,NPL,All,IPL,0,0,0,0,0
SR,PAK,All,IPL,0,0,0,0,0
TS,PAK,All,IPL,0,0,0,0,0
IR,PAK,All,IPL,0,0,0,0,0
SR,PRY,All,IPL,0,0,0,2,4
TS,PRY,All,IPL,0,0,0,2,9
IR,PRY,All,IPL,0,0,0,2.04667486514154e-7,1.325941557297483e-4
SR,PAN,All,IPL,0,2,4,8,12
TS,PAN,All,IPL,0,2,2,2,13
IR,PAN,All,IPL,0,5.4594270295638125e-6,7.950422514113598e-6,1.2156386219430717e-5,0.02944512292742729
SR,PHL,All,IPL,0,0,0,1,6
TS,PHL,All,IPL,0,0,0,2,16
IR,PHL,All,IPL,0,0,0,4.3645250116242096e-5,0.03225806355476379
SR,PER,All,IPL,0,0,5,6,9
TS,PER,All,IPL,0,0,2,3,32
IR,PER,All,IPL,0,0,2.108248224885756e-7,2.5718054530443624e-7,0.3333333432674408
SR,SLV,All,IPL,0,0,0,0,2
TS,SLV,All,IPL,0,0,0,0,2
IR,SLV,All,IPL,0,0,0,0,5.169882115296787e-6
SR,TGO,All,IPL,0,0,0,0,0
TS,TGO,All,IPL,0,0,0,0,0
IR,TGO,All,IPL,0,0,0,0,0
SR,RWA,All,IPL,0,0,1,1,3
TS,RWA,All,IPL,0,0,2,2,20
IR,RWA,All,IPL,0,0,4.768126018461771e-6,4.768126018461771e-6,2.4789292365312576e-4
SR,SUR,All,IPL,0,6,7,8,10
TS,SUR,All,IPL,0,2,2,2,2
IR,SUR,All,IPL,0,6.008002060298168e-7,9.185227440866583e-7,9.198967063639428e-7,1.040352003656153e-6
SR,UGA,All,IPL,0,0,0,0,3
TS,UGA,All,IPL,0,0,0,0,20
IR,UGA,All,IPL,0,0,0,0,2.4789292365312576e-4
SR,TWN,All,IPL,0,0,1,1,4
TS,TWN,All,IPL,0,0,2,2,9
IR,TWN,All,IPL,0,0,4.402764898259193e-5,4.402764898259193e-5,0.00392825342714786
SR,TZA,All,IPL,0,0,0,0,1
TS,TZA,All,IPL,0,0,0,0,2
