Species,Class,Category,Habitat,PopTrend,Rep_AOO_km2,Rep_EOO_km2,Elev_lower,Elev_upper,ForestDependency,Unprotected_km2,PA_km2,IL_km2,PIA_km2,total_km2,fracPA,fracIL,fracPIA,fracUnPro,ThreatScore
Rousettus linduensis,MAMMALIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,0,0,46,19,65,0,0.7076923076923077,0.2923076923076923,0,8
Crocidura musseri,MAMMALIA,DD,Forest important,Unknown,NA,NA,NA,NA,NA,0,0,33,97,130,0,0.25384615384615383,0.7461538461538462,0,8
Eudiscoderma thongareeae,MAMMALIA,CR,Forest unimportant,Decreasing,4,NA,0,NA,NA,0,0,0,2,2,0,0,1,0,32
Soricomys leonardocoi,MAMMALIA,DD,Forest important,Stable,NA,70,1476,1785,NA,13,0,0,0,13,0,0,0,1,8
Rhynchomys tapulao,MAMMALIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,95,0,0,0,95,0,0,0,1,8
Cryptotis lacertosus,MAMMALIA,DD,Forest unimportant,Unknown,NA,242.1154,2680,3110,NA,0,0,47,0,47,0,1,0,0,8
Ctenomys goodfellowi,MAMMALIA,LC,Forest unimportant,Unknown,NA,53889.51,NA,NA,NA,23095,58,4790,0,27943,0.00207565400994882,0.17142039151129085,0,0.8265039544787603,2
Submyotodon latirostris,MAMMALIA,LC,Forest unimportant,Unknown,NA,NA,1000,3000,NA,3135,4639,474,218,8466,0.5479565320103945,0.05598866052445074,0.02575005905976848,0.37030474840538624,2
Rhynchomys banahao,MAMMALIA,LC,Forest unimportant,Unknown,NA,NA,1465,2030,NA,0,20,0,0,20,1,0,0,0,2
Soricomys kalinga,MAMMALIA,LC,Forest unimportant,Unknown,NA,83,NA,NA,NA,43,77,0,0,120,0.6416666666666667,0,0,0.35833333333333334,2
Leptomys paulus,MAMMALIA,DD,Forest unimportant,Unknown,NA,NA,1240,1540,NA,753,0,0,0,753,0,0,0,1,8
Eptesicus chiriquinus,MAMMALIA,LC,Forest unimportant,Unknown,NA,NA,50,1900,NA,73528,27004,23206,36974,160712,0.16802727861018468,0.14439494250584897,0.23006371646174523,0.4575140624222211,2
Eliurus antsingy,MAMMALIA,DD,Forest unimportant,Unknown,NA,23695,98,432,NA,169,877,0,0,1046,0.8384321223709369,0,0,0.1615678776290631,16
Sommeromys macrorhinos,MAMMALIA,DD,Forest unimportant,Unknown,NA,NA,1600,2600,NA,304,23,461,601,1389,0.01655867530597552,0.33189344852411806,0.4326853851691865,0.21886249100071992,16
Crocidura sokolovi,MAMMALIA,DD,Forest important,Unknown,NA,167,2300,2400,NA,0,0,1,3,4,0,0.25,0.75,0,8
Crocidura guy,MAMMALIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,2,1,10,83,96,0.01041666666666666,0.10416666666666669,0.8645833333333334,0.02083333333333333,8
Taeromys microbullatus,MAMMALIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,0,0,529,0,529,0,1,0,0,16
Desmalopex microleucopterus,MAMMALIA,EN,Forest unimportant,Decreasing,NA,1589,100,1480,NA,79,173,49,8,309,0.5598705501618123,0.15857605177993528,0.02588996763754045,0.255663430420712,16
Cryptotis mccarthyi,MAMMALIA,DD,Forest unimportant,Unknown,NA,81.76,1500,1620,NA,0,3,0,0,3,1,0,0,0,8
Rhipidomys albujai,MAMMALIA,DD,Forest important,Unknown,NA,140.7426,NA,NA,NA,33,128,13,22,196,0.6530612244897959,0.0663265306122449,0.11224489795918367,0.1683673469387755,8
Crocidura umbra,MAMMALIA,NT,Forest unimportant,Unknown,NA,88,1611,1950,NA,1,42,0,0,43,0.9767441860465116,0,0,0.02325581395348837,4
Riama labionis,REPTILIA,EN,Forest unimportant,Decreasing,NA,73.72,1234,1646,NA,150,35,0,0,185,0.1891891891891892,0,0,0.8108108108108109,16
Sphenomorphus sheai,REPTILIA,DD,Forest important,Unknown,NA,NA,NA,NA,NA,0,0,22,0,22,0,1,0,0,6
Lycodryas pseudogranuliceps,REPTILIA,LC,Forest important,Decreasing,NA,19724,NA,NA,NA,108141,6380,0,0,114521,0.05571030640668523,0,0,0.9442896935933148,2
Alluaudina bellyi,REPTILIA,LC,Forest important,Decreasing,NA,30659,NA,NA,NA,32488,5800,0,0,38288,0.15148349352277476,0,0,0.8485165064772252,2
Rhabdophis angeli,REPTILIA,DD,Forest important,Unknown,NA,NA,NA,NA,NA,793,226,9,39,1067,0.21180880974695407,0.00843486410496719,0.03655107778819119,0.7432052483598875,6
Tytthoscincus bukitensis,REPTILIA,NT,Forest important,Unknown,NA,166,1046,1239,NA,0,0,24,0,24,0,1,0,0,4
Amphisbaena leali,REPTILIA,CR,Forest important,Unknown,NA,12,NA,NA,NA,3,22,0,0,25,0.88,0,0,0.12,32
Sphenomorphus senja,REPTILIA,DD,Forest important,Unknown,NA,NA,NA,NA,NA,0,0,14,4,18,0,0.7777777777777778,0.2222222222222222,0,6
Sphenomorphus murudensis,REPTILIA,DD,Forest important,Unknown,NA,NA,500,2400,NA,0,0,713,0,713,0,1,0,0,6
Sphenomorphus microtympanus,REPTILIA,LC,Forest important,Stable,918,918,500,750,NA,72,0,0,0,72,0,0,0,1,2
