Species,Class,Category,Habitat,PopTrend,Rep_AOO_km2,Rep_EOO_km2,Elev_lower,Elev_upper,ForestDependency,Unprotected_km2,PA_km2,IL_km2,PIA_km2,total_km2,fracPA,fracIL,fracPIA,fracUnPro,ThreatScore
Typhlops sylleptor,REPTILIA,EN,Forest unimportant,Decreasing,NA,144,375,420,NA,8,7,0,0,15,0.4666666666666667,0,0,0.5333333333333333,16
Anguis incomptus,REPTILIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,1092,0,44,0,1136,0,0.03873239436619718,0,0.9612676056338028,6
Ailuronyx trachygaster,REPTILIA,VU,Forest unimportant,Stable,NA,NA,NA,NA,NA,2,8,0,0,10,0.8,0,0,0.2,8
Pholidobolus dicrus,REPTILIA,DD,Forest unimportant,Unknown,NA,NA,972,2070,NA,92,23,0,0,115,0.2,0,0,0.8,6
Rena bressoni,REPTILIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,675,10,133,0,818,0.01222493887530562,0.1625916870415648,0,0.8251833740831296,6
Sphenomorphus sabanus,REPTILIA,LC,Forest important,Unknown,NA,NA,50,850,NA,11706,3167,24449,2656,41978,0.07544428033731955,0.5824241269236267,0.06327123731478393,0.27886035542426985,2
Anolis darlingtoni,REPTILIA,CR,Forest important,Decreasing,NA,70,1360,1500,NA,1,12,0,0,13,0.9230769230769232,0,0,0.07692307692307693,32
Riama orcesi,REPTILIA,VU,Forest important,Unknown,NA,738,1635,2700,NA,460,637,12,0,1109,0.5743913435527502,0.01082055906221821,0,0.4147880973850316,8
Typhlops titanops,REPTILIA,EN,Forest important,Decreasing,250,1000,240,730,NA,57,0,0,0,57,0,0,0,1,16
Riama inanis,REPTILIA,DD,Forest unimportant,Unknown,NA,NA,NA,2000,NA,82,14,0,0,96,0.14583333333333334,0,0,0.8541666666666666,6
Sphenomorphus rarus,REPTILIA,DD,Forest important,Unknown,NA,NA,NA,NA,NA,0,0,4,13,17,0,0.2352941176470588,0.7647058823529411,0,6
Amphiglossus spilostichus,REPTILIA,DD,Forest important,Unknown,NA,583,NA,650,NA,297,0,0,0,297,0,0,0,1,6
