Country,Covar,MeanValue
ECU,buff10_travelTime,336.983301358025
ECU,buff10_popDens,55.6258654396222
ETH,IPL_elevation,1067.3837752805
ETH,IPL_slope,3.26299381933561
ETH,IPL_travelTime,167.219622787797
ETH,IPL_popDens,66.6620490869394
ETH,buff10_elevation,1614.8356504612
ETH,buff10_slope,6.63647818149065
ETH,buff10_travelTime,108.801953881553
ETH,buff10_popDens,186.262216010676
GAB,IPL_elevation,383.516173907687
GAB,IPL_slope,3.08262262410254
GAB,IPL_travelTime,437.897947015516
GAB,IPL_popDens,17.5907646700522
GAB,buff10_elevation,371.978140434901
GAB,buff10_slope,2.71106534402766
GAB,buff10_travelTime,1036.46144898552
GAB,buff10_popDens,14.1749381773642
GTM,IPL_elevation,966.752169747379
GTM,IPL_slope,7.81934930635306
GTM,IPL_travelTime,99.3225079086181
GTM,IPL_popDens,190.136979528702
GTM,buff10_elevation,682.612934337864
GTM,buff10_slope,6.71002850672549
GTM,buff10_travelTime,229.993605891243
GTM,buff10_popDens,274.470076833477
GUF,IPL_elevation,140.370094681653
GUF,IPL_slope,2.196454399684
GUF,IPL_travelTime,1774.49809867583
GUF,IPL_popDens,2.31539960329788
GUF,buff10_elevation,89.0392780527343
GUF,buff10_slope,2.15959504648361
GUF,buff10_travelTime,989.659984097548
GUF,buff10_popDens,10.3522544671957
GUY,IPL_elevation,300.791588063527
GUY,IPL_slope,3.31574830593677
GUY,IPL_travelTime,1257.24304663604
GUY,IPL_popDens,1.19803551923266
GUY,buff10_elevation,226.853248255184
GUY,buff10_slope,2.38344311865144
GUY,buff10_travelTime,1362.15115437513
GUY,buff10_popDens,2.49651064505261
HND,IPL_elevation,526.580626552218
HND,IPL_slope,5.83539029489825
HND,IPL_travelTime,1410.92465857029
HND,IPL_popDens,53.9227121188052
HND,buff10_elevation,624.865090507631
HND,buff10_slope,7.99832523879931
HND,buff10_travelTime,2419.18096717073
HND,buff10_popDens,127.098489491011
IDN,IPL_elevation,505.582452094698
IDN,IPL_slope,7.8960228954197
IDN,IPL_travelTime,972.541575786781
IDN,IPL_popDens,65.5613215182869
IDN,buff10_elevation,230.768564744126
IDN,buff10_slope,4.16072085710421
IDN,buff10_travelTime,3091.88956000609
IDN,buff10_popDens,134.028005124084
IND,IPL_elevation,774.168393131229
IND,IPL_slope,7.59150516093729
IND,IPL_travelTime,168.922899233088
IND,IPL_popDens,164.38024262495
IND,buff10_elevation,797.913503073355
IND,buff10_slope,5.11938659672549
IND,buff10_travelTime,190.834980493539
IND,buff10_popDens,346.800593671962
KEN,IPL_elevation,734.941434052107
KEN,IPL_slope,1.90925884845206
KEN,IPL_travelTime,160.042302225766
KEN,IPL_popDens,39.4728325063075
KEN,buff10_elevation,1120.49101548322
KEN,buff10_slope,2.26157040963428
KEN,buff10_travelTime,358.424340165206
KEN,buff10_popDens,175.571115790439
KHM,IPL_elevation,168.201700300432
KHM,IPL_slope,2.00611717501907
KHM,IPL_travelTime,123.297876156157
KHM,IPL_popDens,35.0581815119477
KHM,buff10_elevation,118.134389219973
KHM,buff10_slope,1.85064313709002
KHM,buff10_travelTime,395.646170497763
KHM,buff10_popDens,88.8779823071986
LAO,IPL_elevation,746.330931217634
LAO,IPL_slope,9.53957657010056
LAO,IPL_travelTime,224.383866996514
LAO,IPL_popDens,22.104155380446
LAO,buff10_elevation,399.219124359926
LAO,buff10_slope,6.216865019207
LAO,buff10_travelTime,111.760952220493
LAO,buff10_popDens,67.6739863648148
LKA,IPL_elevation,104.522552861909
LKA,IPL_slope,2.85730780229737
LKA,IPL_travelTime,1056.46874077147
LKA,IPL_popDens,57.7801228290857
LKA,buff10_elevation,88.4772209324403
LKA,buff10_slope,1.91922465198647
LKA,buff10_travelTime,1225.37633358744
LKA,buff10_popDens,145.859784204727
MEX,IPL_elevation,1033.81136755106
MEX,IPL_slope,8.35576231706554
MEX,IPL_travelTime,275.883145078803
MEX,IPL_popDens,36.2838652301802
MEX,buff10_elevation,1187.23991626933
MEX,buff10_slope,7.48075738697855
MEX,buff10_travelTime,383.054773458329
MEX,buff10_popDens,96.8841178506574
MMR,IPL_elevation,847.524192089764
MMR,IPL_slope,9.9931487164542
MMR,IPL_travelTime,390.436718199237
MMR,IPL_popDens,37.2165147785716
MMR,buff10_elevation,362.24850421303
MMR,buff10_slope,5.71276930419
