Scenario,Country,Taxa,Area,Value,pValue
IR,BEN,All,out,-1.59341499060086E-06,0
IR,BEN,Amphibia,buff10,0,1
IR,BEN,Aves,buff10,7.2848981506486E-09,0
IR,BEN,Mammalia,buff10,-6.13562163802239E-06,0
IR,BEN,Reptilia,buff10,4.01200173778664E-07,0
IR,BGD,All,buff10,-9.31919901620005E-08,0
IR,BGD,All,buff50,-7.36128526854492E-08,0
IR,BGD,All,out,-2.78567926436715E-07,0
IR,BGD,Amphibia,buff10,0,1
IR,BGD,Aves,buff10,-8.25919679661919E-08,0
IR,BGD,Mammalia,buff10,-2.31279125282063E-07,0
IR,BGD,Reptilia,buff10,-7.12755054837658E-07,0
IR,BLZ,All,buff10,-2.83063593376168E-08,0.509
IR,BLZ,All,buff50,-1.39372337283431E-08,0.62
IR,BLZ,All,out,-5.38052490908033E-08,0.08
IR,BLZ,Amphibia,buff10,5.97581253873353E-06,0.444
IR,BLZ,Aves,buff10,-1.58241433797487E-08,0
IR,BLZ,Mammalia,buff10,-1.74124073892935E-07,0
IR,BLZ,Reptilia,buff10,-1.99649061159426E-07,0.036
IR,BOL,All,buff10,-6.66064648962711E-07,0
IR,BOL,All,buff50,-1.15293944517243E-06,0
IR,BOL,All,out,-1.21472549342126E-06,0
IR,BOL,Amphibia,buff10,4.32320337005232E-07,0
IR,BOL,Aves,buff10,-6.53781005828309E-07,0
IR,BOL,Mammalia,buff10,-8.00073258454769E-07,0
IR,BOL,Reptilia,buff10,-1.2140708335026E-06,0
IR,BRA,All,buff10,-1.83078165249878E-07,0
IR,BRA,All,buff50,-2.93852345825001E-07,0
IR,BRA,All,out,-3.58402604417203E-07,0
IR,BRA,Amphibia,buff10,-1.07660084091004E-06,0
IR,BRA,Aves,buff10,-1.43876765779793E-07,0
IR,BRA,Mammalia,buff10,-2.40097596426685E-07,0
IR,BRA,Reptilia,buff10,-1.8629410222312E-07,0
IR,CAF,All,buff10,-1.64217280641545E-08,0
IR,CAF,All,buff50,2.24887940101093E-11,0.969
IR,CAF,All,out,3.52998299487695E-08,0
IR,CAF,Amphibia,buff10,-9.46387765590976E-08,0
IR,CAF,Aves,buff10,-1.82454945236508E-09,0
IR,CAF,Mammalia,buff10,-1.01016341673097E-08,0.027
IR,CAF,Reptilia,buff10,-2.99940285149678E-07,0
IR,CHN,All,buff10,1.03031242521016E-07,0
